CrashFactId,Name,MinorInjuries,ModerateInjuries,SevereInjuries,FatalInjuries,PrimaryCollisionFactor_Code,CollisionType_Code,Distance,CrashTime
591187,CR-0000057686,1,0,0,0,5,5,0.0,7
591188,CR-0000056323,0,0,0,0,5,0,0.0,15
591189,CR-0000056314,2,0,0,0,5,5,132.0,21
591190,CR-0000066584,2,0,0,0,5,0,0.0,8
591191,CR-0000072035,0,0,0,0,5,2,27.0,4
591192,CR-0000076892,0,0,0,0,5,2,0.0,19
591193,CR-0000060437,0,0,0,0,4,6,0.0,18
591194,CR-0000060575,0,0,0,0,5,1,0.0,0
591195,CR-0000060401,1,0,0,0,5,2,311.0,6
591196,CR-0000060255,0,0,0,0,5,1,143.0,15
591197,CR-0000072393,1,0,0,0,5,4,215.0,17
591200,CR-0000060799,0,0,0,0,5,2,50.0,2
591201,CR-0000072833,0,0,0,0,5,2,24.0,6
591202,CR-0000072954,0,0,0,0,5,0,0.0,22
591203,CR-0000072163,1,0,0,0,5,2,182.0,16
591204,CR-0000060690,0,0,0,0,5,2,311.0,2
591205,CR-0000066520,0,0,0,0,5,6,300.0,17
591208,CR-0000043493,1,0,0,0,4,5,0.0,6
591209,CR-0000053281,1,0,0,0,5,3,58.0,4
591210,CR-0000043395,1,0,0,0,5,0,0.0,8
591211,CR-0000043381,0,0,0,1,4,3,0.0,1
591212,CR-0000067399,0,0,1,0,5,4,8.0,2
591213,CR-0000060786,0,1,1,0,5,2,12.0,2
591214,CR-0000038451,0,0,0,0,5,3,84.0,1
591215,CR-0000054566,1,0,0,0,5,3,0.0,21
591216,CR-0000054179,0,0,0,0,1,5,500.0,13
591217,CR-0000061996,0,1,0,0,5,2,120.0,21
591218,CR-0000062233,0,0,0,0,1,2,41.0,18
591219,CR-0000045364,0,0,0,0,5,3,390.0,23
591220,CR-0000055952,0,0,0,0,5,1,84.0,21
591221,CR-0000052850,0,0,0,0,5,5,0.0,18
591222,CR-0000052808,0,0,0,0,5,3,153.0,20
591223,CR-0000053299,2,0,0,0,5,5,0.0,0
591224,CR-0000043402,0,0,0,0,5,5,0.0,18
591225,CR-0000055964,0,0,0,0,5,0,0.0,13
591226,CR-0000070525,1,0,0,0,0,7,0.0,19
591227,CR-0000070695,2,0,0,0,5,0,0.0,21
591228,CR-0000060961,0,0,0,0,5,1,0.0,3
591229,CR-0000060583,0,0,0,0,5,1,0.0,19
591230,CR-0000076476,0,0,0,0,5,2,48.0,8
591231,CR-0000072445,0,0,0,0,5,2,310.0,2
591232,CR-0000076919,0,1,0,0,5,2,132.0,15
591233,CR-0000071711,0,1,0,0,5,3,366.0,18
591234,CR-0000054341,0,1,0,0,5,3,175.0,9
591235,CR-0000045496,0,1,0,0,5,3,0.0,7
591236,CR-0000061936,0,0,0,0,5,1,0.0,3
591237,CR-0000061761,0,0,0,0,5,2,248.0,21
591238,CR-0000062165,0,0,0,0,5,2,1776.0,11
591239,CR-0000055533,0,0,0,0,5,3,0.0,17
591240,CR-0000055734,0,0,0,0,5,3,405.0,4
591241,CR-0000043360,0,0,0,0,4,0,0.0,21
591242,CR-0000042458,0,0,0,1,0,3,141.0,17
591243,CR-0000056439,0,0,0,0,5,1,0.0,18
591244,CR-0000048253,0,0,0,0,4,3,0.0,1
591245,CR-0000070520,0,0,0,0,5,5,66.0,4
591246,CR-0000070801,0,1,0,0,5,7,0.0,15
591247,CR-0000070698,1,0,0,0,5,1,64.0,15
591248,CR-0000070690,0,0,0,0,5,5,53.0,14
591249,CR-0000038681,1,0,0,0,5,3,400.0,1
591250,CR-0000039011,0,0,0,0,5,3,100.0,14
591251,CR-0000055632,1,0,0,0,5,2,0.0,3
591252,CR-0000052485,0,1,0,0,5,3,165.0,19
591253,CR-0000053267,1,0,0,0,5,3,0.0,17
