PartyType_Code,Sobriety_Code,Age,PrimaryCollisionFactor_Code,CollisionType_Code,VehicleDamage_Code,MovementPrecedingCollision_Code,ViolationCode,CrashTime,Distance
3,1,50,4,5,2,0,0,14,0.0
3,2,68,4,8,2,0,0,7,73.0
3,0,55,4,6,5,10,0,23,51.0
17,2,0,5,5,5,5,21658,15,0.0
3,1,66,5,0,3,2,0,18,0.0
3,1,20,4,7,2,0,0,22,0.0
3,1,30,5,1,3,2,21804,8,162.0
9,1,50,5,3,1,8,0,19,0.0
3,1,18,5,7,5,1,21950,7,0.0
3,1,83,5,5,1,8,0,11,50.0
3,2,39,5,5,2,8,0,12,25.0
3,1,52,5,7,5,0,0,18,0.0
3,2,23,5,0,3,0,0,19,0.0
3,1,40,3,8,1,0,0,12,0.0
3,2,59,4,3,5,10,0,3,175.0
3,1,49,5,2,5,2,22100,17,0.0
3,1,41,5,0,2,0,21453,15,0.0
3,1,42,4,1,5,1,0,18,0.0
3,1,29,5,1,5,10,0,14,0.0
3,0,0,5,6,5,10,0,16,300.0
3,7,32,5,3,3,0,22350,23,49.0
3,2,30,4,6,3,8,0,14,0.0
3,2,41,4,5,5,8,0,8,0.0
3,2,0,5,0,1,0,22350,18,18.0
3,2,0,5,3,3,0,22350,23,0.0
3,5,0,1,5,1,8,0,10,210.0
3,1,53,5,5,1,8,0,18,0.0
18,2,0,5,5,5,10,22107,23,200.0
3,1,21,5,0,5,10,21804,19,75.0
8,1,44,4,3,5,9,0,18,0.0
3,2,0,4,0,5,1,0,13,0.0
3,2,43,5,5,2,0,22350,22,52.0
3,1,40,5,1,1,8,0,17,260.0
10,1,23,4,3,5,0,0,18,0.0
3,1,53,5,6,2,0,21453,9,0.0
9,2,0,5,6,3,0,22350,23,78.0
3,7,32,5,5,3,0,22350,21,35.0
3,1,69,4,5,1,1,22107,13,45.0
3,1,39,5,5,2,0,0,19,1320.0
3,1,49,5,5,5,8,0,21,115.0
3,1,24,5,1,3,2,22107,13,189.0
3,0,0,5,5,1,10,0,20,106.0
3,1,26,5,0,2,1,21800,17,0.0
9,2,67,5,5,1,8,0,16,0.0
3,2,43,4,5,5,8,0,9,0.0
18,1,56,5,5,1,0,22350,15,220.0
9,6,39,5,0,1,5,20002,20,100.0
3,1,46,5,5,1,8,0,11,43.0
3,2,20,4,6,5,10,0,0,51.0
3,1,30,5,5,3,0,21658,17,357.0
10,1,47,5,3,5,0,0,16,0.0
9,2,32,5,2,3,10,23103,2,280.0
9,2,80,4,5,5,8,0,12,51.0
3,0,0,5,6,5,10,0,0,83.0
3,0,0,4,6,2,10,0,7,0.0
8,7,31,5,2,3,0,23152,4,433.0
3,0,0,5,3,1,10,0,20,180.0
0,2,19,5,7,3,0,0,14,0.0
3,2,0,5,5,1,0,22350,22,0.0
3,1,30,5,0,3,2,21801,13,360.0
3,0,0,5,1,3,10,0,11,291.0
0,1,28,0,3,1,0,21202,16,0.0
3,0,0,4,6,1,10,0,22,100.0
3,2,21,5,0,3,0,22350,9,0.0
3,1,71,5,0,3,0,0,16,0.0
18,2,0,5,3,5,10,21663,1,185.0
3,2,50,4,5,5,8,0,11,0.0
3,2,0,5,5,5,0,22350,14,0.0
3,1,41,4,3,2,0,0,12,0.0
3,2,0,5,6,5,0,22107,11,170.0
3,0,0,4,6,5,10,0,11,0.0
3,0,0,4,1,5,10,0,2,51.0
3,2,0,5,3,5,2,21950,17,0.0
3,1,28,5,6,1,0,0,23,0.0
3,1,51,5,5,1,8,0,13,130.0
3,1,37,5,5,1,8,0,9,0.0
3,6,33,5,2,3,1,22350,18,30.0
3,1,50,5,0,3,0,0,13,0.0
3,2,0,5,5,5,0,22350,14,60.0
0,6,51,5,3,5,0,0,13,0.0
10,1,66,3,8,5,0,21954,6,68.0
3,1,23,5,3,3,2,22350,17,60.0
3,2,0,4,3,5,10,0,3,51.0
3,7,22,5,2,3,10,23152,2,305.0
3,1,19,5,5,2,8,0,8,72.0
3,2,0,0,3,5,0,0,19,0.0
3,1,38,5,5,1,0,22350,16,0.0
3,1,71,5,5,1,0,1,10,0.0
3,2,28,5,5,3,0,22350,20,0.0
3,1,61,6,0,1,0,21453,20,0.0
3,2,0,5,5,2,0,22350,21,36.0
3,2,37,4,0,2,0,0,11,0.0
8,2,34,5,3,1,0,22350,11,0.0
3,1,58,4,0,2,0,21802,7,0.0
3,1,20,5,0,2,0,0,19,330.0
17,2,0,5,6,1,5,21658,20,375.0
3,1,61,5,0,1,1,0,9,0.0
9,0,0,5,3,5,10,0,11,275.0
3,2,59,4,6,5,5,0,13,0.0
3,1,29,5,6,1,0,0,8,0.0
9,1,60,4,6,2,0,0,11,0.0
3,1,27,5,6,4,0,0,19,0.0
18,6,0,5,3,5,3,22106,11,75.0
3,1,42,5,0,3,8,0,6,0.0
18,2,0,5,6,5,1,22350,11,80.0
3,1,40,5,6,2,0,21658,13,0.0
3,0,0,5,6,2,10,0,9,235.0
3,1,24,5,5,1,8,0,16,50.0
3,0,0,4,5,3,10,0,4,366.0
3,0,0,5,6,5,10,0,20,0.0
3,1,28,5,5,2,0,22350,19,0.0
3,2,36,5,6,2,5,22107,14,12.0
8,1,47,5,6,2,8,0,17,150.0
3,1,25,5,1,3,0,0,21,164.0
3,1,67,5,1,3,0,0,16,0.0
3,1,88,5,6,1,0,21658,16,126.0
3,1,27,5,5,1,8,0,0,0.0
3,1,88,5,5,2,8,0,11,72.0
3,1,37,5,6,2,0,0,11,0.0
3,1,35,5,5,2,8,0,15,36.0
3,2,0,4,6,5,5,0,2,0.0
3,8,27,5,6,3,0,21453,14,30.0
3,1,19,4,5,5,0,0,21,0.0
3,1,17,5,5,2,0,22350,17,0.0
3,0,0,4,5,5,10,0,1,0.0
9,2,0,4,5,5,0,0,17,51.0
3,2,0,4,0,5,1,0,19,20.0
3,2,43,4,5,5,0,0,15,0.0
3,1,22,5,5,3,0,0,11,418.0
9,2,0,5,5,5,3,22106,22,63.0
3,6,0,5,5,5,0,22350,17,190.0
3,2,39,5,0,2,0,0,18,141.0
3,2,76,4,3,5,8,0,15,0.0
9,2,32,4,5,5,0,0,20,0.0
3,1,49,5,5,5,1,21703,11,0.0
3,2,0,4,6,5,0,0,18,0.0
3,2,33,5,0,5,0,0,18,90.0
9,2,41,4,5,5,0,0,16,51.0
3,1,21,5,1,3,0,1,15,140.0
3,2,0,5,5,2,0,22350,6,22.0
0,1,56,0,0,1,0,21200,23,157.0
3,1,45,5,5,1,1,22107,17,0.0
3,0,0,5,6,5,10,0,12,100.0
3,2,0,5,2,3,1,22107,20,0.0
3,2,0,5,3,3,10,0,15,100.0
3,1,29,5,0,1,2,21801,10,0.0
3,0,0,5,3,2,10,0,18,50.0
3,1,36,5,3,5,1,22350,12,25.0
3,7,64,5,2,3,10,22107,20,0.0
9,0,31,4,5,5,10,0,0,0.0
3,2,0,4,6,5,10,0,15,0.0
3,1,43,5,5,1,3,0,19,0.0
3,1,21,5,5,3,0,22350,14,149.0
0,1,33,5,7,5,0,0,17,88.0
3,1,34,5,5,2,8,0,1,24.0
3,1,31,5,7,5,1,21952,11,0.0
13,2,34,4,5,5,8,0,13,0.0
3,1,44,0,7,5,1,0,15,79.0
3,2,19,5,3,2,0,0,3,370.0
3,1,23,5,0,5,0,0,16,0.0
3,0,0,5,0,3,10,0,14,27.0
3,1,31,5,0,1,8,0,20,0.0
3,8,19,5,0,1,0,21453,22,0.0
3,2,0,5,3,5,5,21658,14,125.0
18,2,20,4,0,5,10,0,17,152.0
3,2,0,4,2,5,3,0,1,0.0
0,1,59,5,7,5,2,0,13,60.0
3,2,21,4,1,5,2,0,19,0.0
0,2,36,4,3,5,0,0,12,0.0
18,2,0,4,5,5,0,0,3,0.0
3,2,57,5,0,2,0,21453,17,0.0
18,2,66,5,6,5,8,0,17,0.0
3,1,68,5,6,1,1,0,22,232.0
9,1,38,5,5,1,8,0,23,0.0
3,2,15,5,6,2,1,22107,0,0.0
3,1,40,5,0,2,0,21453,17,0.0
9,2,0,5,6,5,10,0,0,40.0
3,0,0,5,1,3,10,0,19,114.0
3,0,0,4,6,5,10,0,15,51.0
3,2,37,5,5,1,0,22350,19,328.0
9,0,0,4,3,5,10,0,6,157.0
3,0,0,5,5,3,10,0,10,70.0
3,1,28,5,5,2,0,22350,12,51.0
3,2,19,5,0,5,1,0,18,0.0
3,1,36,5,0,3,0,0,18,0.0
3,2,22,4,3,5,1,0,13,0.0
3,1,32,5,5,2,8,0,23,24.0
3,1,26,5,5,2,8,0,17,114.0
9,2,52,4,5,5,0,0,7,0.0
3,2,51,5,3,3,8,0,13,72.0
3,1,53,5,3,1,2,21950,13,0.0
18,2,0,4,3,5,10,0,18,0.0
0,2,41,0,3,5,10,21200,22,258.0
3,1,46,5,3,1,1,22107,16,339.0
3,2,0,5,6,5,0,23103,12,163.0
8,1,19,5,0,3,0,12500,19,0.0
3,1,44,5,6,5,9,22107,11,250.0
3,2,41,4,5,5,0,0,18,0.0
18,1,29,5,0,3,0,0,23,0.0
3,0,0,5,0,1,10,0,19,100.0
3,1,33,4,1,5,2,21453,12,0.0
3,1,66,5,0,2,0,0,8,0.0
3,2,0,5,0,5,10,21804,14,0.0
3,1,30,5,5,3,8,0,11,30.0
3,1,29,5,5,5,8,0,17,0.0
3,1,52,5,5,2,0,0,18,40.0
10,2,22,3,8,5,10,21453,23,0.0
18,2,0,4,5,5,0,0,8,0.0
3,7,36,5,5,2,0,22350,21,190.0
3,2,41,4,3,5,3,22106,16,0.0
3,2,0,4,6,5,10,0,19,51.0
3,1,39,5,0,3,0,0,23,0.0
13,1,56,5,2,5,3,22106,15,470.0
3,0,0,4,2,5,10,0,13,51.0
3,0,0,4,3,5,10,0,17,106.0
9,0,0,4,3,1,10,0,12,0.0
3,2,31,4,5,5,8,0,18,0.0
3,1,29,5,8,5,2,22100,14,34.0
3,2,0,5,5,3,0,22350,4,0.0
3,0,0,5,3,5,10,0,13,0.0
3,2,34,4,5,5,0,0,8,0.0
10,2,64,5,8,5,0,0,23,0.0
3,1,71,5,5,2,1,0,16,0.0
3,1,37,3,0,5,0,0,18,92.0
3,0,0,5,3,3,10,0,2,300.0
0,1,63,0,7,5,0,21453,17,0.0
3,2,0,5,5,5,0,22350,20,0.0
3,1,26,5,5,1,0,22350,22,437.0
3,2,47,4,5,2,8,0,18,0.0
